p_id;p_ident;p_number;p_projet;Type_publication;p_titre;p_type_com;p_speaker_invite;p_nom_conference;p_date_debut_conference;p_date_fin_conference;p_ville_conference;p_pays_conference;p_lien_conference;p_nom_journal;p_publication_journal;p_volume_journal;p_pages_journal;p_annee_publication;p_doi;p_url_bdd;p_date_soumission;p_date_notification;p_date_soumission_finale;p_nom_responsable;p_liste_auteurs;p_affiliation;p_directeur_stage;p_date_debut_stage;p_date_fin_stage;p_award;p_date_soutenance_these;p_composition_jury_these;p_etablissement_delivrant_these;p_directeur_these;p_date_debut_these;p_date_fin_these;p_nom_meeting;p_date_meeting;p_auteur;p_avec_abstract;Statut;p_actif
10;M031-1;1;M031;Communication;Influence du traitement thermique post fabrication et d’un vieillissement sur la microstructure d’un alliage Al-Si-Mg élaboré par fabrication additive;;;2ème Journées des Doctorants AddimAlliance;01/07/2﻿021;02/07/2021;Albi;France;http://www.addimalliance.fr/siteWeb/;;;;;;;;01/07/2021;01/07/2021;01/07/2021;;Nicolas BELLO, Cassiopée GALY, Joel DOUIN;IRT/CEMES, IRT , CEMES;;;;non;;;;;;;;;89;0;Réalisé;1
11;M031-2;2;M031;Communication;Presence of Nb rich Carbide during High Temperature Heat treatment on Additively Manufactured IN718;;;2ème Journ2es des Doctorants AddimAlliance;01/07/2021;02/07/2021;Albi;France;http://www.addimalliance.fr/siteWeb/;;;;;;;;01/07/2021;01/07/2021;01/07/2021;;Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER;IRT/PennState University, IRT, IRT, PennState University;;;;non;;;;;;;;;89;0;Réalisé;1
12;M031-3;3;M031;Communication;Influence de l’oxydation à 500-600°C sur les propriétés mécaniques en traction de l’alliage TA6V issu de fabrication additive;;;Journées Annuelles du Groupement de Recherche (GdR) COnCOrD (COuplage méCanique Oxydation Diffusion) 2021;07/07/2021;08/07/2021;La Rochelle;France;https://gdr-concord.cnrs.fr/evenement/seminaire-du-gdr-1-a-la-rochelle-le-7-et-8-juillet-2021/;;;;;;;;21/06/2021;21/06/2021;21/06/2021;;Antoine Casadebaigt , Daniel Monceau, Jonathan Hugues;IRT, CIRIMAT, IRT;;;;non;;;;;;;;;89;0;Réalisé;1
17;M031-4;4;M031;Communication;Changes on Textural Properties of Additively Manufactured IN718 during High Temperature Homogenization Process;;;MRS Fall Meeting and Exhibit;28/11/2021;03/12/2021;Boston;USA;https://www.mrs.org/meetings-events/fall-meetings-exhibits/2021-mrs-fall-meeting;;;;;;;;23/06/2021;23/06/2021;23/06/2021;;Selda NAYIR, Bertrand MAX, Simon PERUSIN, Todd PALMER;IRT/PennState University, IRT, IRT, PennState University;;;;non;;;;;;;;;89;0;Réalisé;1
21;M031-5;5;M031;Communication;Sample preparation influence on a direct artificially aged Al-Si-Mg alloy elaborated by laser beam melting;;;TMS2022;27/02/2022;03/03/2022;Anaheim;Autriche;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;01/07/2021;01/07/2021;;;Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin;IRT/CEMES, IRT , IRT, CEMES;;;;;;;;;;;;;89;0;Réalisé;1
22;M031-6;6;M031;Communication;TEM dislocation interaction with the microstructure of an Al-Si-Mg alloy elaborated by laser beam melting;;;TMS2022;27/02/2022;03/03/2022;Anaheim;USA;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;01/07/2021;;;;Nicolas Bello1, Malo Jullien2, Cassiopée Galy1, Céline Larignon1 et Joël Douin2;IRT / CEMES, CEMES, IRT, IRT, CEMES;;;;non;;;;;;;;;89;1;Réalisé;1
27;M031-7;7;M031;Communication;On the use of X-ray microtomography to control artificial defect geometries produced by metal additive manufacturing;;;ICT Conference 2022 - 11th Conference on Industrial Computed Tomography;08/02/2022;11/02/2022;Wels;Austria;https://3dct.at/cms2/index.php/de/welcome2022;;;;;;;;20/07/2021;;;;Julien Lesseur, Benoit Tranchand;IRT, IRT;;;;non;;;;;;;;;89;1;Réalisé;1
28;M031-8;8;M031;Communication;TEM characterization of an AS7G06 alloy with several heat treatments;;;TMS2022;27/02/2022;03/03/2022;Anaheim;Austria;https://www.tms.org/AnnualMeeting/TMS2022;;;;;;;;;;;;Nicolas Bello, Cassiopée Galy, Céline Larignon, Joël Douin;IRT/CEMES, IRT , IRT, CEMES;;;;non;;;;;;;;;89;1;Réalisé;1
37;V064-1;1;V064;Article journal;Risk assessment of PD appearance in aeronautic cables in view of the voltage increase in Aviation applications;;;;;;;;;MEA : More electric aircraft;20/10/2021;;;;;;;;;;Robin Acheen , Guillaume Belijar, Thierry Lebey ;IRT Saint-Exupery, IRT Saint-Exupery, Safran Toulouse;;;;;;;;;;;;;383;0;Réalisé;1
38;E033-1;1;E033;Article journal;PDIV Numerical And Experimental Estimation In a Needle/Dielectric Film/Plane Configuration;;;;;;;;;Conférence EIC 2021;07/06/2021;;;;;;;;;;Van de steen Cyril, Abadie Cédric, Belijar Guillaume;IRT,IRT,IRT;;;;;;;;;;;;;383;0;Réalisé;1
39;E033-2;2;E033;Article journal; PDIV as a marker of low-voltage insulation aging;;;;;;;;;Conférence EIC 2021;07/06/2021;;;;;;;;;;SZCZEPANSKI Mateusz, FETOUHI Louiza, SABATOU Marie, PIN Samuel, BELIJAR Guillaume;Leroy Somer, Leroy Somer, IRT, IRT, IRT;;;;;;;;;;;;;383;0;Réalisé;1
40;E033-3;3;E033;Article journal;Ageing in aircraft electromechanical chain: design of thermal cycling bench for winding elements;;;;;;;;;Conférence EIC 2021;07/06/2021;;;;;;;;;;DREUILHE Sarah, PIN Samuel, STEMMER Sebastien, FETOUIHI Louiza, BELIJAR Guillaume, ALBERT Laurent;IRT, IRT, IRT, Leroy Somer, IRT, IRT;;;;;;;;;;;;;383;0;Réalisé;1
41;E033-4;4;E033;Article journal;Process optimization for heterogeneous capacitive grading materials by voltage and time monitoring;;;;;;;;;CEIDP 2021;17/10/2021;;;;;;;;;;LE Trong Trung, KHAZAKA Rabih, VALDEZ NAVA Zarel, BELIJAR Guillaume, LAUDEBAT Lionel, DIAHAM Sombel;Laplace, Safran SA, Laplace, IRT, Laplace, laplace;;;;;;;;;;;;;383;0;Réalisé;1
42;E033-5;5;E033;Article journal;Future of Insulation Systems in Power Conversion Chain : Changes in the Stress Nature and Influence on Reliability;;;;;;;;;IEEE TTE (Transactions on Transportation Electrification);31/12/2021;;;;;;;;;;ACHEEN Robin, LEBEY Thierry, DUCHESNE Stephane, ABADIE Cédric, PIN Samuel;IRT, Safran, LSEE, IRT, IRT;;;;;;;;;;;;;383;0;Annulé;1
43;E086-1;1;E086;Article journal;Partial Discharge Inception Voltage: Precise and Robust Numerical Estimation Based on Extensive  Dielectric Spectroscopy Measurements ;;;;;;;;;EIC 2021;07/06/2021;;;;;;;;;;KEMARI Youcef, BELIJAR Guillaume, LAUDEBAT Lionel, DIAHAM Sombel, VALDEZ NAVA;IRT, IRT, LAPLACE, LAPLACE, LAPLACE;;;;;;;;;;;;;788;0;Réalisé;1
44;M011-1;1;M011;Communication;Contributions of augmented simulation to identification of material parameters: application to lattice structures;;;IDICS;03/11/2021;05/11/2021;Nantes;France;;;;;;;;;;;;;Ludovic BARRIERE, Philippe BRAMMER;IRT Saint Exupery, EIKOSIM;;;;;;;;;;;;;4;1;Réalisé;1
46;M031-9;9;M031;Communication;Influence de l’oxydation à 500 600 °C sur les propriétés mécaniques en traction de l’alliage de titane TA6V issu de fabrication additive ;;;Journées Annuelles du GRD ConCOrd;07/07/2021;08/07/2021;Webconference;France;https://gdr-concord.cnrs.fr/activites/;;;;;;;;;;;;Antoine Casadebaigt, Daniel Monceau, Jonathan Hugues ;IRT/CIRIMAT, CIRIMAT, IRT;;;;non;;;;;;;;;89;0;Réalisé;1
48;E086-2;2;E086;Article journal;A Townsend’s secondary ionization coefficient estimation method for partial discharge inception voltage prediction for insulating polymers  ;;;;;;;;;ICD 2022;31/03/2022;;;;;;;;;;Youcef KEMARI, Cyril VAN DE STEEN, Guillaume BELIJAR, Lionel LAUDEBAT, Zarel VALDEZ-NAVA, Sombel DIAHAM and Cédric ABADIE;IRT,IRT,IRT,LAPLACE,LAPLACE,LAPLACE,IRT;;;;;;;;;;;;;788;1;Réalisé;1
55;M031-10;10;M031;Communication;In situ TEM observations on an aluminium alloy elaborated by laser beam melting;;;2022 MRS Spring Meeting & Exhibit;08/05/2022;13/05/2022;Honolulu;USA;https://www.mrs.org/meetings-events/spring-meetings-exhibits/2022-mrs-spring-meeting;;;;;;;;;;;;Nicolas Bello, Malo Jullien, Cassiopée Galy, Céline Larignon, Joël Douin;1. MMP, IRT Saint Exupéry, Toulouse, Occitanie, France.  2. PPM, Centre d’Élaboration des Matériaux et d’Etudes Structurales, Toulouse, Occitanie, France.  3. SUMO, Institut Clément Ader (UMR CNRS 5312), Toulouse, Occitanie, France. ;;;;;;;;;;;;;89;1;Réalisé;1
59;S007-1;1;S007;Article journal;Adaptation of short-term cloud forecasting to global scale and evaluation of its contribution to Earth observing satellite planning;;;;;;;;;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;01/02/2022;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing ( Volume: 14);12524 - 12535;2021;10.1109/JSTARS.2021.3126451;;;;;;Guillaume Roussel,  Mathieu Tupin, Yves Bardout, Guillaume Jubelin;IRT AESE (MAD Réuniwatt),  Réuniwatt, IRT AESE (MAD TAS), IRT AESE;;;;;;;;;;;;;801;0;Réalisé;1
60;M031-11;11;M031;Communication;Contribution of the introduction of artificial defects by additive manufacturing to the determination of the Kitagawa diagram of Al-Si alloys;;;Fatigue Design 2021;17/11/2021;18/11/2021;Senslis;France;http://fatiguedesign.org/;;;;;;;;;;;;M. Bonneric , C. Brugger, N. Saintier , A. Castro Moreno , B. Tranchand;Arts et Métiers Institute of Technology, I2M, France  IRT Saint-Exupery, France;;;;non;;;;;;;;;89;0;Réalisé;1
69;S080-3;3;S080;Communication;Slice Aware Non Terrestrial Networks ;;;LOCAL COMPUTER NETWORK 2021;04/10/2021;07/10/2021;virtuel;Canada;https://www.ieeelcn.org/;;;;;;;;01/06/2021;25/06/2021;22/07/2021;;Youssouf DRIF, Emmanuel LAVINAL, Emmanuel CHAPUT, Pascal BERTHOU, Boris TIOMELA JOU, Olivier GREMILLET, Fabrice ARNAL;Youssouf DRIF (IRT/IRIT), Emmanuel LAVINAL (IRIT), Emmanuel CHAPUT (IRIT), Pascal BERTHOU (LAAS), Boris TIOMELA JOU (ADS), Olivier GREMILLET (IRT), Fabrice ARNAL (TAS);;;;non;;;;;;;;;472;1;Réalisé;1
70;E039-1;1;E039;Communication;A Multidisciplinary Design Optimization Approach for EMC Filters Design;;;EPE;06/09/2021;10/09/2021;;;https://www.bing.com/search?q=epe+2021&cvid=012a6500b81545f4b9b5c2c1112b083a&aqs=edge.0.0l6.1920j0j1&FORM=ANAB01&PC=U531;;;;;;;;;;;;Arthur Piat, Hans H. Sathler, Francois Gallard, Bernardo Cogo;IRT;;;;;;;;;;;;;606;0;Réalisé;1
75;E039-6;6;E039;Communication;Conception optimale d'un onduleur triphasé SiC 540V/70kVA pour applications aéronautiques;;;SGE;06/11/2021;08/11/2021;Nantes;France;https://www.sge-conf.fr/;;;;;;;;;;;;Gilles Segond, Bernardo Cogo, Hans H. Sathler, Benoit Bonnefont, Duc-Hoan Tran;IRT;;;;;;;;;;;;;606;0;Réalisé;1
84;E033-6;6;E033;Communication;Simulation analysis of partial discharge in random wounding insulation systems in aeronautical conditions;;;ICD 2022;04/07/2022;07/07/2022;Palerme;Italie;;;;;;;;;30/10/2021;;;;Cyril VAN DE STEEN, Cédric ABADIE, Guillaume BELIJAR;IRT, IRT, IRT;;;;;;;;;;;;;383;1;Réalisé;1
85;E033-7;7;E033;Communication;Investigation of thermal degradation by dielectric markers correlated to analytic properties drift;;;ICD 2022;;;;;;;;;;;;;30/10/2021;;;;Louiza FETOUHI,Marie SABATOU, Mateusz SZCZEPANSKI, Samuel PIN, Cécilien Thomas, Guillaume BELIJAR;Leroy Somer, IRT, Leroy Somer, IRT, IRT, IRT;;;;;;;;;;;;;383;1;Réalisé;1
86;E033-8;8;E033;Communication;How does PDIV change during isothermal ageing of magnet wire;;;EIC 2022;;;;;;;;;;;;;30/10/2021;;;;Mateusz SZCZEPANSKI, Louiza FETOUHI, Marie Sabatou, Sarah Dreuilhe, Samuel PIN, Cyril VAN DE STEEN, Guillaume BELIJAR;Leroy Somer, Leroy Somer, IRT, IRT, IRT, IRT, IRT;;;;;;;;;;;;;383;1;Réalisé;1
87;E033-9;9;E033;Communication;Aging study in electromechanical chain: design of experiment definition using step stress tests;;;EIC 2022;;;;;;;;;;;;;30/10/2021;;;;S. Pin, M. Sabatou, M. Szczepanski, S. Dreuilhe, L. Fetouhi, G. Belijar;IRT, IRT, Leroy Somer, IRT, Leroy Somer, IRT;;;;;;;;;;;;;383;1;Réalisé;1
91;U008-1;1;U008;Communication;Future of Insulation Systems in Power Conversion Chain : Partial Discharges and Ageing Phenomena from Type I to Type II applications;;;EIC 2022;;;;;;;;;;;;;30/10/2021;;;;R. Acheen, T. Lebey, S. Duchesne, C. Abadie;Safran, Safran, Safra, IRT;;;;;;;;;;;;;1176;1;Réalisé;1
93;U008-2;2;U008;Article journal;State-Space Simulation of Electric Arc Faults;;;;;;;;;AESS;07/10/2021;;;;;;;;;;A. Chabert, P. Schweitzer, S. Weber and J. Andrea;IRT, Université de Lorraine, Université de Lorraine, IRT;;;;;;;;;;;;;1176;0;Réalisé;1
97;S001-1;1;S001;Poster;Towards robust network synchronization with IEEE 802.1AS;;;ETR 2021;20/09/2021;24/09/2021;Poitiers;fr;;;;;;;;;;;;;Q. Bailleul, K. Jauffrès-Runser (IRIT), JL Scharbarg (IRIT), P. Cuenot;;;;;;;;;;;;;;472;0;Réalisé;1
98;S001-2;2;S001;Communication;Assessing a precise gPTP simulator with IEEE802.1AS hardware measurements;;;ERTS 2022;01/06/2022;02/06/2022;Toulouse;fr;https://www.erts2022.org/;;;;;;;;03/10/2021;30/01/2022;30/01/2022;;Quentin Bailleul, Katia Jaffr`es-Runser, Jean-Luc Scharbarg, Philippe Cuenot;IRT, IRIT, IRIT, IRT/Continental;;;;;;;;;;;;;84;1;Réalisé;1
100;M031-12;12;M031;Communication;Utilisation du Contrôle Non Destructif en phase de production;;;COMET 2021;30/11/2021;30/11/2021;Toulouse;France;https://www.comet-cnes.fr/evenements/cnd-detection-dendommagement-et-suivi-en-fabrication;;;;;;;;;;;;Cassiopée GALY;IRT;;;;non;;;;;;;;;89;0;Réalisé;1
101;M031-13;13;M031;Communication;Détection des défauts en tomographie X pour la fabrication additive métallique;;;COMET 2021;30/11/2021;30/11/2021;Toulouse;France;https://www.comet-cnes.fr/evenements/cnd-detection-dendommagement-et-suivi-en-fabrication;;;;;;;;;;;;Julien LESSEUR;IRT;;;;non;;;;;;;;;89;0;Réalisé;1
102;M032-1;1;M032;Communication;DU DEPOT DE CORDON A LA REALISATION DE PIECES INDUSTRIELLES;;;25e assises europeennes de la FA 2021;08/06/2021;10/06/2021;;France;https://franceadditive.tech/assises-2021/;;;;;;;;;;;;Bertrand MAX, Céline LARIGNON;IRT, IRT;;;;non;;;;;;;;;89;0;Réalisé;1
105;E033-10;10;E033;Communication;Analysis of standard parts aging under partial discharges for airborne applications;;;EATS 2022;;;;;;;;;;;;;30/11/2021;;;;Jean Rivenc, Sam Pin, Emilie Fond, Guillaume Belijar, Cyril Van de Steen;Airbus, IRT, Radiall, IRT, IRT;;;;;;;;;;;;;383;0;Réalisé;1
108;S080-4;4;S080;Démo;Demonstration of Orchestration of 5G Core Network Functions with a Satellite Emulator;;;;;;;;;;;;;;;;;;;;Ayoub Bergaoui, Youssouf Drif, Tanissia Djemai , Olivier Gremillet , Ahmad Al Sheikh and Pascal Berthou;IRT (Bergaoui, Drif, Djemai, Grémillet, Al Sheikh), LAAS (Berthou), IRIT(Drif);;;;;;;;;;;The 46th IEEE Conference on Local Computer Networks (LCN);07/10/2021;52;0;Réalisé;1
112;V075-3;3;V075;Communication;Existence, Stability And Scalability Of Orthogonal Convolutional Neural Networks;;;JMLR (Journal of Machine Learning Research);;;;;;;;;;;;;;;19/10/2021;;El Mehdi Achour, François Malgouyres, Franck Mamalet;UNIV-TLSE3 | INSMI | UT1-CAPITOLE | UNIV-TLSE2 | IMT | IRT_SAINT-EXUPERY | INSA-TOULOUSE | INSA-GROUPE | CNRS | ANR | ANITI;;;;non;;;;;;;;;595;0;Réalisé;1
114;V075-5;5;V075;Communication;Achieving robustness in classification using optimal transport with hinge regularization;;;CVPR'21;;;;;;;;;;;;;;;19/10/2021;;Mathieu Serrurier, Franck Mamalet, Alberto González-Sanz, Thibaut Boissin, Jean-Michel Loubes, Eustasio del Barrio ;;;;;non;;;;;;;;;595;0;Réalisé;1
115;V075-6;6;V075;Communication;How Good is your Explanation? Algorithmic Stability Measures to Assess the Quality of Explanations for Deep Neural Networks;;;WACV;04/01/2022;08/01/2022;Waikoloa;US;https://wacv2022.thecvf.com/;;;;;;;;;;03/12/2021;;Thomas Fel, David Vigouroux, Rémi Cadène, Thomas Serre;IRT Saint Exupéry - Institut de Recherche Technologique, ANITI - Artificial and Natural Intelligence Toulouse Institute, Carney Institute for Brain Science, Brown University;;;;;;;;;;;;;538;0;Réalisé;1
116;M031-14;14;M031;Communication;Cinétique d'évolutions microstructurales dans l'alliage de titane Ti6Al4V élaboré par fabrication additive;;;MANUFACTURING 2021;11/06/2021;12/06/2021;Angers;France;;;;;;;;;;;;;Yassine LAKROUNE, Damien CONNETABLE, Jonathan HUGUES, Paul HERMANTIER, Frédéric PRIMA, Moukrane DEHMAS ;CIRIMAT, CIRIMAT,IRT Saint Exupéry, CIRIMAT/IRT Saint Exupery, IRCP, CIRIMAT;;;;non;;;;;;;;;89;0;Réalisé;1
117;M031-15;15;M031;Communication;Texture evolution during the high temperature heat treatment of additively manufactured IN718;;;Materials Science and Technology;17/10/2021;21/10/2021;Columbus;USA;;;;;;;;;;;;;Selda NAYIR, Bertrand MAX Simon PERUSIN, Todd PALMER;Pennsylvania State University,  IRT Saint Exupéry, IRT Saint Exupéry, Pennsylvanya State university ;;;;non;;;;;;;;;89;0;Réalisé;1
119;M031-16;16;M031;Communication;Texture evolution with Homogenization Temperature on IN718 Alloys produced with Powder Bed Fusion Process;;;2021 AWS Professional program;13/09/2021;16/09/2021;Chicago;USA;;;;;;;;;;;;;Selda NAYIR, Bertrand MAX Simon PERUSIN, Todd PALMER;Pennsylvania State University,  IRT Saint Exupéry, IRT Saint Exupéry, Pennsylvanya State university ;;;;non;;;;;;;;;89;0;Réalisé;1
120;M031-17;17;M031;Communication;Comparative Analysis of Low Angle and High Angle Grain Boundaries on Additively Manufactured Inconel 718 Builds;;;Chemnitz MTEX Workshop 2021;08/03/2021;12/03/2021;;webconf;;;;;;;;;;;;;Selda NAYIR;Pennsylvania State University;;;;non;;;;;;;;;89;0;Réalisé;1
122;M031-19;19;M031;Communication;Kinetics of microstructural evolutions in additively manufactured Ti-6Al-4V titanium alloy transformed by SLM;;;EUROMAT 2021;12/09/2021;12/09/2021;Graz;Autriche;;;;;;;;;;;;;Yassine LAKROUNE, Damien CONNETABLE, Jonathan HUGUES, Paul HERMANTIER, Frédéric PRIMA, Moukrane DEHMAS ;CIRIMAT, CIRIMAT,IRT Saint Exupéry, CIRIMAT/IRT Saint Exupery, IRCP, CIRIMAT;;;;non;;;;;;;;;89;0;Réalisé;1
123;M031-20;20;M031;Communication;Etude de l’oxydation à chaud d’échantillons en alliage TA6V élaborés par fabrication additive. Conséquences sur les propriétés mécaniques;;;Webinaire CEFRACOR;;28/01/2021;Webconf;;;;;;;;;;;;;;"Antoine CASADEBAIGT Jonathan HUGUES Daniel MONCEAU""";IRT Saint Exupéry, IRT Saint Exupéry, CIRIMAT;;;;non;;;;;;;;;89;0;Réalisé;1
124;A022-1;1;A022;Article journal;Processing and dynamic mechanical analysis of an expandable epoxy foam: experimental and numerical study;;;;;;;;;;;Journal of Applied Polymer Science;;2023;20230287R1;;;;;;;;;;;;;;;;;;;;55;0;Réalisé;1
128;S085-2;2;S085;Communication;Towards an agile, model-based multidisciplinary process to improve operational diagnosis in complex systems;;;ERTS 2022;01/06/2022;02/06/2022;TOULOUSE;FRANCE;https://www.erts2022.org/;;;;;;;;13/09/2021;18/11/2021;30/01/2022;;Nikolena Christofi ;IRT Saint Exupery;;;;;;;;;;;;;289;0;Réalisé;1
130;S038-1;1;S038;Communication;In space image processing using AI embedded on system on module: Example of OPS-SAT cloud segmenation;;;European workshop on On-Board Data Processing (OBDP 2021);14/06/2021;17/06/2021;Fully digital;Fully digital;https://atpi.eventsair.com/QuickEventWebsitePortal/obdp-2021/website;;;;;;;;;;;;Fredéric Férésin, Erwann Kervennic, Yves Bobichon, Edgar Lemaire, Nassim Abderrahmane, Gaetan Bahl, Ingrid Grenet, Matthieu Moretti, Michael Benguigui;IRT Saint Exupery, Thales Alenia Space, Thales Research Technology, ActiveEon, Elsys Design, Inria, MyDataModels, Université Cote d’Azur / LEAT / CNRS;;;;;;;;;;;;;829;0;Réalisé;1
131;S038-2;2;S038;Communication;Binary Graph Neural Networks;;;Conference on Computer Vision and Pattern Recognition (CVPR 2021);19/06/2021;25/06/2021;Fully digital;Fully digital;https://cvpr2021.thecvf.com/;;;;;;;;;;;;Mehdi Bahri, Gaétan Bahl, Stefanos Zafeiriou;Imperial College London, Université Côte d'Azur - Inria, IRT Saint-Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
132;S038-3;3;S038;Communication;ZGP : une alternative aux réseaux de neurones pour la segmentation sémantique de nuages dans les images satellites multi-spectrales;;;Conférence Nationale sur les Applications Pratiques de l’Intelligence Artificielle (APIA 2021);01/07/2021;02/07/2021;Bordeaux + digital;France + digital;https://pfia2021.fr/conferences/apia/;;;;;;;;;;;;Ingrid Grenet, Yves Bobichon, Adrien Girard, Frédéric Férésin;IRT Saint Exupéry, MyDataModels;;;;;;;;;;;;;829;0;Réalisé;1
133;S038-4;4;S038;Communication;In space images processing by AI: OPS-SAT cloud segmentation;;;International Society for Photogrammetry and Remote Sensing Congress (ISPRS Congress 2021);04/07/2021;10/07/2021;Fully digital;Fully digital;https://isprs2021.stream-up.tv/;;;;;;;;;;;;Frédéric Férésin;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
134;S038-5;5;S038;Communication;In-flight results of images processing by AI embedded on OPS-SAT;;;SophIA Summit;17/11/2021;19/11/2021;Sophia Antipolis;France;https://univ-cotedazur.eu/events/sophia-summit;;;;;;;;;;;;Erwann Kervennic, Lionel Daniel, Frederic Feresin, Yves Bobichon, Edgar Lemaire, Nassim Abderrahmane, Gaetan Bahl, Ingrid Grenet, Michael Benguigui;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
136;S038-6;6;S038;Communication;AI embedded on FPGA: OPS-SAT use case;;;ESA CubeSat Industry Days;01/06/2021;03/06/2021;Fully digital;Fully digital;https://atpi.eventsair.com/QuickEventWebsitePortal/5thcubesatindustrydays/website;;;;;;;;;;;;Fréderic Férésin, Erwann Kervennic;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
137;S038-7;7;S038;Communication;Low-power neural networks for semantic segmentation of satellite images;;;International Conference on Computer Vision (ICCV 2019);27/10/2019;02/11/2019;Séoul;Corée du Sud;https://iccv2019.thecvf.com/;;;;;;;;;;;;Gaétan Bahl, Lionel Daniel, Matthieu Moretti, Florent Lafarge;Université Côte d'Azur - INRIA, IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
138;S038-8;8;S038;Communication;Onboard image processing using AI to reduce data transmission: example of OPS-SAT cloud segmentation;;;International workshop on on-board payload data compression (OBPDC 2020);21/09/2020;23/09/2020;Fully digital;Fully digital;https://atpi.eventsair.com/QuickEventWebsitePortal/obpdc-2020/eventwebsite;;;;;;;;;;;;Frédéric Férésin, Michaël Benguigui, Yves Bobichon, Edgar Lemaire, Matthieu Moretti, Gaétan Bahl;IRT St Exupéry, Thales Alenia Space, Université Côte d'Azur / LEAT / CNRS, ActiveEon, Elsys Design, Inria;;;;;;;;;;;;;829;0;Réalisé;1
139;S038-9;9;S038;Communication;An FPGA-based Hybrid Neural Network accelerator for embedded satellite image classification;;;International Symposium on Circuits and Systems (ISCAS 2020);17/05/2020;20/05/2020;Séville,;Espagne;https://iscas2020.org/;;;;;;;;;;;;Edgar Lemaire, Matthieu Moretti, Lionel Daniel, Benoît Miramond, Philippe Millet, Frédéric Férésin, Sébastien Bilavarn;Thales Research & Technology, Université Côte d'Azur / LEAT / CNRS, IRT St Exupéry, Thales Alenia Space;;;;;;;;;;;;;829;0;Réalisé;1
140;S038-10;10;S038;Article journal;Landsat 8 Clouds Segmentation Script;;;;;;;;;Blog Sentinel Hub;12/01/2021;;;;;;;;;;Ingrid Grenet, Houssem Farhat;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
141;S038-11;11;S038;Article journal;Cloud Segmentation in Landsat-8 Images;;;;;;;;;Medium - Sentinel Hub;31/03/2021;;;;;;;;;;Ingrid Grenet;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
142;S038-12;12;S038;Article journal;L’IRT Saint Exupéry expérimente l’automatisation de processus;;;;;;;;;Rocking robots;16/11/2020;;;;;;;;;;Michaël Benguigui;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
145;S038-13;13;S038;Article journal;Two premieres in Artificial Intelligence on-board satellites;;;;;;;;;Blog IRT St Exupéry;09/06/2021;;;;;;;;;;Adrien Girard;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
146;S038-14;14;S038;Poster;Poster CIAR - Chaîne Image Autonome et Réactive;;;Inauguration IRT Sophia Antipolis;25/11/2021;26/11/2021;Sophia Antipolis;France;;;;;;;;;;;;;Adrien Girard;IRT St Exupéry;;;;;;;;;;;;;829;0;Réalisé;1
147;S038-15;15;S038;Article journal;AI test success on OPS-SAT;;;;;;;;;Blog Thales Group;17/12/2021;;;;;;;;;;Adrien Girard, Tarik Lahlou;Thales Alenia Space;;;;;;;;;;;;;829;0;Réalisé;1
151;S001-3;3;S001;Démo;Amélioration visant à rendre plus réaliste une librairie c++ open source  de simulation (pour OMNeT++) du protocole de synchronisation IEEE802.1AS.;;;;;;;;;;;;;;;;;;;;Quentin Bailleul;IRT-SaintExupery;;;;;;;;;;;https://gitlab.amd.e-technik.uni-rostock.de/peter.danielis/gptp-implementation/-/tree/master/IEEE8021AS;31/01/2022;84;0;Réalisé;1
152;M082-8;8;M082;Thèse;Élaboration de revêtements multifonctionnels par projection plasma de suspensions pour des applications aéronautiques;;;;;;;;;;;;;;;;;;;;Maxence Gombault  ;Maxence Gombault  (IRT SE / IRCER) - Simon Goutier, Christophe Chazelas, Armelle Vardelle (IRCER), Sophie Senani, Aurélien Joulia (Safran Tech) et Julien Escobar (IRT SE);;;;;16/03/2022;;;Simon Goutier, Christophe Chazelas, Armelle Vardelle (IRCER), Sophie Senani, Aurélien Joulia (Safran Tech) et Julien Escobar (IRT SE);07/01/2019;06/01/2022;;;669;0;Réalisé;1
155;E042-2;2;E042;Article journal;Effect of HTRB lifetest on AlGaN/GaN HEMTs under different voltages and temperatures stresses;;;;;;;;;IEEE Transaction on Electromagnetic Compatibility;;;;;;;;;;;;;;;;;;;;;;;;;821;0;Réalisé;1
156;E042-3;3;E042;Article journal;Simulation and modelling of long term reliability of digital circuits implemented in FPGA;;;;;;;;;ELSEVIER Microelectronic Reliability;01/10/2018;;;;;;;;;;;J. D. Aguirre Morales, F. Marc, A. Bensoussan and A. Durier;;;;;;;;;;;;;821;0;Réalisé;1
